selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,4.9,0.08,"1pc Kids' Sun Protection Shawl Hat, With Adjustable Drawstring, Purple Maple Leaf & Rabbit Cartoon Design, With Whistle, Suitable For Boys And Girls. Whistle Is Randomly Sent. The Hat Has A Large Brim To Provide Necessary Sun Protection For Outdoor Activities During Spring And Summer. It Comes In Various Colors And Styles To Suit Individual Preferences And Has Cultural Connotations Specific To Cross-Border Markets. It Is Lightweight, , And Foldable - A Must-Have Travel And Outdoor Accessory For Summer.",null,null,
1500,8.32,0.26,SHEIN Baby Boy Ripped Roll Hem Ripped Jeans,null,null,6
20,3.8,0.07,Fashion USA Lettered Embroidered Baseball Cap American Flag Pattern Baseball Cap Girls Boys All-Purpose Baseball Cap,null,null,
1000,7.9,0.07,Baby Girl Casual Polka Dot Print Romper With Flutter Sleeves,null,null,5
50,7.1,0.09,"Baby Girls' Textured Jacquard Fabric Camisole Top With 3D Flower Decoration And Pleated Shorts Set, Fashionable Casual Outfit For Vacation",null,null,
1300,6.9,0.09,Baby Girl Striped Print Ruffle Trim Wrinkled Top With Shorts,null,null,4
1100,7.9,0.09,Baby Girl's Cute Watermelon Shaped Flocked Mesh Dress With Shoulder Straps,null,null,
,4.95,0.08,Baby Girl Floral Print Bodysuit With Headband,null,null,8
300,8.8,0.07,"Baby Girl Cute, Elegant, Cute, Floral Printed, Purple Bodysuit With Shorts Set And Headband, For Spring And Summer",null,null,
,13.09,0,SHEIN Maternity Summer Elegant Ditsy Floral Printed Bodycon Dress With Fish Tail Hem,null,null,
100,5.33,0.18,Baby Girl Polka Dot Printed Three-Layer Ruffled Sleeve Dress With Bowknot Decoration For Summer,null,null,7
100,1.84,0.2,1pc Black Flat Baby & Kids' Leggings Tights,null,null,
,2.8,0.1,5pairs/set Baby Cartoon Pattern & Solid Color Socks,null,null,11
1800,12.6,0.09,"SHEIN Baby Boys' Colorblock Round Neck Short Sleeve Top, Shorts, Vest And Hat Set",null,null,4
1100,12.64,0.15,SHEIN 6pcs Baby Girl Adorable Simple Knitted Solid Color Sleeveless Wave Hem Top & Shorts Outfits,null,null,
1000,6.8,0.08,Baby Girl Floral Print Appliques Crisscross Back Cami Romper,null,null,
2600,10.7,0.07,Baby And Child (girls) Casual Sports Simple Sweatshirt Three-piece Set Spring And Autumn,null,null,4
60,6.7,0.09,"SHEIN Vintaside Kids New Summer Style Baby Girls' High-Quality Embroidered Vest With Simple Countryside Style, Bamboo Cotton A-Line Sleeveless Dress With Full Front Button Opening",null,null,
1100,7.5,0.06,SHEIN Baby Boy Slogan Graphic Hooded Tank Top & Shorts,null,null,10
700,8.6,0.08,Baby Girl Casual Polo Shirt With Bee Embroidery And Pleated Skirt Set For Summer,null,null,
70,5.8,0,"2pcs Little Girls' Elegant Sweet Strawberry & Letter Print Ruffle Top And Striped Strawberry Print Shorts, Suitable For Casual, Daily, Vacation, Party",null,null,
,2.7,0.07,2pcs Girls Heart Pattern Hair Bonnet,null,null,6
1100,7.7,0.09,SHEIN Baby Girl Casual Solid Color Vest And Geometric Pattern Belted Shorts Set For Summer,null,null,
,4.8,0,"1pc Adjustable Baby Car Seat Headrest Pillow - Neck And Head Support For Infants, Child Car Safety Cushion",null,null,
2600,13.9,0.09,Baby Girl Simple Korean-Style Multi-Colored Spaghetti Strap Romper,null,null,7
1300,6.6,0.1,Baby Girl Floral Embroidery Dual Pocket Dress With Headband,null,null,5
3800,6.8,0.09,Baby Boy Solid Button Front Shirt & Shorts,null,null,9
,12.4,0.08,Baby Girl Puff Sleeve Ripped Belted Denim Jumpsuit,null,null,7
600,6.55,0.33,Baby Girl Ruffle Trim Bow Front Blouse & Swiss Dot Skirt,null,null,6
200,1.5,0,1 Pack Baby Growing Souvenir Diy Soft Clay Print Paste,null,null,
,14.7,0,"Baby Girl Summer Solid Color Shorts Set Of 7, Casual And Versatile",null,null,
90,2.26,0.22,Kids Dinosaur Pattern Sun Protection Baseball Cap,null,null,
2000,17.8,0.08,3pcs Baby Girls' Cute Fruit Printed Snug Fit Homewear Set With Short Sleeve Tops And Long Pants,null,null,
3400,10,0.07,Baby Girl Floral Print Halter Top & Layer Hem Skirt & Hat,null,null,6
2400,10.7,0.08,"4pcs/Set Baby Boy's Casual Streetwear Skateboard & Game Machine Pattern T-Shirt, Shorts, Backpack And Cap For Summer",null,null,
1200,4.4,0,Baby Girl Slogan Printed Short Sleeve Casual Bodysuit,null,null,
20,5,0.07,"Infant Newborn Casual Letter Printed Short Sleeve Bodysuit, Summer Daily Comfortable Outfit",null,null,
90,8.2,0,"Baby Girl Head Printed T-Shirt, Solid Color Complicated Shorts & Belt 3-Piece Casual Outfit",null,null,
1400,2.4,0,"1pc Baby Stroller Mosquito Net Cover, Fully Covered Sunshade & Dustproof Awning",null,null,4
2300,5.9,0.11,"SHEIN Baby Girl Printed Ruffle Romper, Cute & Sweet, Comfortable For Summer",null,null,
500,4,0.07,Baby Boy Slogan Graphic Bodysuit,null,null,4
,31.3,0,New 3rd Generation Simulation Children Toilet 6035 - Children Potty Training Seat With Stool And Ladder For Baby Boys And Girls,null,null,
1700,3.25,0.36,Baby Boys' Simple Slogan Pattern Short Sleeve Romper For Summer,null,null,
60,8.7,0.1,"SHEIN Baby Girl Round Neck Color-Block Cat Pattern Sleepwear With Lace Cuffs, Flame Resistant",null,null,
2300,3.52,0.2,5pairs Baby Girls Casual Ruffle Frilly Socks For Daily Life,null,null,
