selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,8.54,0.25,SHEIN Sport Studio Thumb Holes Zip Up Sports Jacket,4,in Slim Fit Women Sports Jackets,
100,3.35,0.41,pcs Detachable Butterfly  Flower   Faux Pearl Decorative Chain For Jelly Shoes  Sandals  Beach Shoes,,,6
,5,0,New Fashion Sports Goggles Men s And Women s Sunglasses Outdoor Windproof Glasses  Pit  Vipe R,4,in Cycling Glasses,
200,1.38,0.4,ml     ml     ml Portable Outdoor Water Bottle  Large Capacity Straw Water Bottle  Gradient Color Water Bottle  Sports Water Bottle  Suitable For Boys And Girls Color Water Bottle,,,5
,6.86,0.52,Pack Of    Solar Powered Plastic Tube Lights For Decorating Villa  Courtyard  Garden  Waterproof Ground Stake Lamp For Outdoor Ambiance  Garden Lawn Light  Suitable For Rural Courtyard Decoration,1,"in Outdoor decorative lights, solar-powered, energy-efficient, beautiful, stylish",
1300,7.5,0.25,pc Pink Hip Resistance Band With   cm Width  Hip Pad For Glute Bridge   Butt Exercise  For Dumbbell   Kettlebell Workout  Bow Step   Reverse Squat,,,
,0.65,0.76,pcs Waterproof Mobile Phone Bag For Outdoors Swimming Water Park Water Rafting Basics Swim Bag Swimmers Tropical Coastal Vibes Beach Bag For Swimming Summer Island Holiday Vacation Beach Accesories For Girl Boy Men Woman,1,in Waterproof Cellphone Pouches,7
200,6.49,0,Women s Sports Sexy Tummy Control Butt Lifting Waist Sculpting Gym Yoga Compression Shorts  Summer Women Boxer Shorts,,,
,1.5,0.32,Pcs Pink Series Shoe Charms For Clogs Sandals  Colorful Weekly Shoe Decoration Premium Quality Popular Charms Accessories Great Gift For Teens Men Women And Adults,3,In Multicolor Shoe Decorations,
200,1.45,0.48,pc Multi Functional Hair Cutting Cape Waterproof PE Hairdressing Barber Cape And Hair Cutting Smock,,,
,1.08,0.7,pc Desk Mobile Phone Holder Stand Compatible With IPhone IPad  Adjustable Desktop Tablet Holder Universal Table Cell Phone Stand,3,in Bicycle Accessories,
,3.86,0.58,pc          inch Portable Waterproof Mat For Beach And Lawn  Outdoor Camping  Picnic Mat  Camping Utensil,8,in Picnic Mat,
500,1.77,0.34,pc Multi Functional Car Cleaning Gel  Dust Removal Cleaning Agent For Car  Includes Detail Cleaning Of Air Vents   Debris Removal For Keyboard  Computer   Laptops  Available In   g      g  Camping,,,
,1.49,0.17,pcs Sandals Non Slip Stickers  Forefoot Pads  Women s High Heels  Foot Care Insoles,4,in Outdoor Athletic Shoes,7
300,4.87,0.28,pc Portable EVA Hair Straightener Case  Curling Iron Carrying Container  For Hair Flat Iron Straightener Curler  Woman Travel Bag,,,5
2200,1.26,0.59,pc PVC Waterproof Swimming Fanny Pack,,,
,1.83,0.24,Pcs Waterproof Waist Pack   Waterproof Cell Phone Pouch With Waist Strap   Voyage Essentials Waterproof Pouch Dry Bag Keeps Cell Phone And Valuables Safe For Kayaking Boating Fishing On The Beach  Clear,4,in Multifunctional Storage Bags,
,7.36,0.45,Women s Comfortable Breathable Flat Slip On Casual Sports Shoes  Versatile Design,4,In Camel Women Shoes,7
10,8.2,0.08,Instant Fix Micro Stitch Gun   Portable Clothing Repair Tool For Quick Hemming  Quilt Tacking   Tagging   Durable Sewing GunVersatile Garment Fixes,,,
700,2.16,0.42,pcs Reusable Silicone Leakproof Food Storage Bag For Nut  Grain  Vegetable  Fruit  And Snack   Resealable Clear Party Favor Treat Bags For Travel And Home Kitchen Supplies  Kitchen Stuff Camping,,,
900,1.86,0.57,pcs Roll  Slouchy Rag  Dry And Wet Dual Use Household Cleaning Rag For Window Car Glass Tableware Pans And Pots  Disposable Dishwashing Towel  Absorbent Non Stick Oil Scouring Pads  Kitchen Supplies  Cleaning Tools Random Style  Camping,,,
,7.12,0.25,Yoga Trendy Color block Stripe Mid Calf Length Running Leggings  High Stretch Tummy Control Workout Leggings With Side Phone Pocket,7,in Gym & Fitness Women Activewear,6
700,9.82,0.25,Manfinity Sport Corelite Men Drawstring Waist   In   Sports Shorts With Phone Pocket Gym Shorts,,,
1600,5.69,0.36,Yoga Basic Wide Waistband Phone Pocket Side Capri Sports Leggings,,,8
,2.2,0.5,pc V shaped Facial Slimming Strap  Anti snoring Double layer Chin Lifting Belt  Skin Lifting Tightening Bandage,6,in Personal Care Products,
,25.73,0.31,SHEIN Yoga Basic Women s Solid Color Cross Strap Yoga Spiral Sports Suit Travel Workout Outfit Set Women,1,in Seamless Women Sports Sets,
,3.4,0,Fairy Window Curtain Lights              LED Home Decoration String Light    Modes   Waterproof  For Halloween Xmas Wedding Party Outdoor Indoor Bedroom Outdoor Lights,5,in Outdoor String Lights,
2900,4.69,0.42,Yoga Basic Wideband Waist Biker Shorts With Phone Pocket,,,
,0.85,0.53,pcs Silicone Straw Covers Cap Letter Charms  For  Cup  For  Cup Letter Charms  Tumbler Accessories    pc Straw Covers Cap    pc Letter,7,in Water Bottles for Outdoor,
30,2.6,0,pc Giant Inflatable Ball For Water  Air Blowing And Filling  Bubble Hitting Toy For Stress Relief Pool Toys Suitable For Pool Games Pool Party,,,
,1.3,0,pcs Mini Cloud Shape Box Cutter Scalpel Utility Knife Letter Opener Envelope Slitter  Portable Cloud Shape Paper Cutter With Keychain Hole,7,in Knives,
400,1.43,0.05,Absorbent Microfiber Dish Cloths  Kitchen Dishwashing Cloth  Oil Free And Absorbent Stain Removal Towels  Lint Free Dishwashing Towels  Scouring Pads  And Cleaning Rags   Kitchen Accessories And Cleaning Tools,,,
,2.5,0,pc Boob Tape Lift   Firm Your Breasts With Body Tape   Petal Backless Nipple Cover Set   Breathable Breast Lift Tape For A E Cup Large Breasts,1,in Bandage,
,5.6,0.34,SHEIN Running Cut Out Crossover Back Sports Tee,9,in Criss Cross Women Sports Tees & Tanks,5
,12.19,0,SHEIN Sport Easify Two Piece Look Hooded Sport Dress With Pockets Short Black Dress,1,in Plain Women Active Dresses,
,17.1,0.2,Women s White And Blue Contrast Lace Star Design Lightweight Casual Sports Shoes Suitable For Daily Wear  Campus  And Hanging Out With Friends,1,In Blue and White Women Casual Shoes,
,11.47,0.25,SHEIN Yoga Sxy Solid Criss Cross Backless Active Dress Tennis Dress Sport Dress,2,in Criss Cross Women Active Dresses,
,16.42,0.25,SHEIN Sport Studio  Pcs Workout Athletic Set Cut Out Digital Polka Dot Sports Bra   Slogan Graphic Cut Out Tank Top   Digital Polka Dot Sports Leggings Gym Women Sets Women Tennis Outfit,9,in 4-Way Stretch Women Sports Sets,
400,13.57,0.25,SHEIN Sport Gameset  pcs Seamless High Stretch Racer Back Sports Bra workout,,,
600,1.9,0.3,pair    cm Silicone Invisible Adhesive Cushion Insole Pads For High Heels  Anti Slip And Anti Wear Foot Protectors,,,
2400,2.5,0.26,toe Sticky Forefoot Pad  Arch Support   Massage   Half Metatarsal Pads  Anti slip Insoles For High Heels Women,,,
100,11.84,0.25,Black Light Blue Grey Pink  Set Of   Athletic Tank Tops,,,
,2.84,0.02,pcs Quick Water Filling Balloons,3,in pool float,
20,1.62,0.05,Pairs Simple Round Magnetic Curtain Clasp  Curtain Lightproof Clasp  Removable Curtain Decoration  Clothes Fixing Clasp,,,
1500,6.48,0.31,SHEIN Yoga Basic Contrast Tape Wide Waistband Sports Leggings,,,
200,9.89,0.03,Tender Angel Tender Angel Cross Back Sports Bra For Women  New Spring And Summer Medium Intensity Yoga Fitness Thin Shoulder Strap Sports Underwear Gym Top,,,8
,5.99,0.06,Yoga Basic Women s Letter Printed Drawstring Sports Shorts With Phone Pocket,2,in Letter Women Active Bottoms,
