selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
4000,13.59,0.06,"SHEIN Slayr Plus Size Women's Slim Fit Round Neck Short Sleeve Top And Shorts Set, Two Piece Set Shorts",,,6
,13.43,0.09,SHEIN LUNE Plus Solid Slant Pocket Cami Jumpsuit,4,In Casual Plus Size Jumpsuits & Bodysuits,10
,9.3,0.12,SHEIN VCAY Plus Paisley Print Halter Neck Summer Dress,5,in Island vacation,
200,14.37,0.44,Apperloth A Plus High Waist Slant Pocket Thermal Lined Skinny Pants,,,
,15.29,0.13,SHEIN Slayr Plus Size Vacation Casual Colorful Striped Women's Sleeveless Top And Shorts Outfit With Neck Strap-Z,2,In Casual Plus Size Sweater Co-ords,5
9700,14.62,0.11,SHEIN Essnce Plus Notched Neck Batwing Sleeve Tee,,,18
800,9.65,0.18,Plus Size Women Summer Casual Letter Print Round Neck Short Sleeve T-Shirt And Shorts Two Pieces Set,,,
,13.19,0.08,SHEIN LUNE Printed Plus Size Straight-Legged Pants,10,in Plus Size Pants,5
,10.79,0.08,SHEIN Priv̩ Plus Size Spring/Summer Vacation Delicate Date/Party/Casual Beach Multi-Layer Folds Bodycon Women Top,7,In Casual Plus Size Women Tops,
4800,11.19,0.06,SHEIN Clasi Women's Plus Size Printed Patchwork V-neck Bodycon Dress With Waist Tie,,,9
1300,13.49,0.08,SHEIN Frenchy Plus Size Women's Stylish Notch V-Neck Waist-Controlling Plain Shirt,,,
,7.19,0.05,SHEIN EZwear Plus Size Women I'm Literally Just A Girl Cropped Slogan Slim Fit T-Shirt,6,In Black Plus Size T-shirts,
,10.59,0.07,SHEIN LUNE Plus Size Women's Summer Circular Ring Connected Casual Camisole Top,1,in Plus Size Tank Tops & Camis,13
200,5.97,0.39,Plus Size High Waist Workout Running Yoga Leggings,,,6
1600,12.56,0.08,SHEIN EZwear Plus Size Acid Washed Look Vintage Knitted Distressed Loose Fit Short Sleeve T-Shirt,,,9
7000,16.69,0.08,SHEIN VCAY Plus Floral Print Kimono & Shorts,,,9
3400,13.89,0.07,SHEIN SXY Plus Size Tie-Dye Hollow Out Slit Dress,,,11
,14.49,0.08,SHEIN MOD Plus Size Small Floral Print Strappy Dress,9,in Plus Size Dresses,6
4700,13.59,0.08,SHEIN VCAY Plus Size Women's Floral Print Ruffle Hem Dress,,,
1500,42.82,0.09,SHEIN EZwear Plus Size Women Summer Solid Color Round Neck Short Sleeve T-Shirt And Flared Pants Casual Two-Piece Set,,,
,10.19,0.07,SHEIN LUNE Plus Camo Print Summer Outfits Tummy Control Leggings With Phone Pocket,6,in Plus Size Leggings,
,23.19,0.14,SHEIN SXY Plus Size Camouflage Cargo Shorts With Flap Pockets And Wide-Leg Design,1,in Plus Size Cargo pants,
3800,13.01,0.11,SHEIN Frenchy Plus Size Women Summer V-Neck Batwing Sleeve Texture Babydoll Dress,,,8
100,8.25,0.33,SHEIN LUNE Plus Size Solid Color Jogger Pants,,,5
800,14.29,0.07,"SHEIN LUNE Plus Size Love Print Round Neck Short Sleeve Top And Shorts Set, Summer Casual Outfits",,,10
,19.29,0.08,SHEIN VCAY Plus Allover Print Kimono & Shorts,10,In Boho Plus Size Co-Ords,13
700,8.69,0.06,"SHEIN EZwear Women's Plus Size Colorful Striped Tank Top With Drawstring Side, Hang Neck",,,
3900,14.59,0.08,SHEIN VCAY Plus Solid Halter Top & Shorts,,,
1400,10.09,0.06,SHEIN VCAY Plus Size Retro Printed Colorblock Border Casual Summer Tank Top,,,
,15.79,0.07,SHEIN Frenchy Plus Drop Shoulder Tee & Biker Shorts,6,In Casual Plus Size Co-Ords,4
1200,17.49,0,Plus Size Solid Color Sleeveless Jumpsuit With Pockets For Summer,,,
,8.79,0.07,SHEIN LUNE Plus Size Women's Leopard Print Round Neck Short Sleeve Blouse,1,In Casual Plus Size Tops,9
,16.49,0.08,"SHEIN Frenchy Plus Size Floral Printed Dress With Ruched Bust, Side Slit, And Thick Shoulder Straps, Summer, Length Reaches The Thigh",2,in Floral Dresses,5
600,17.19,0.2,Apperloth A Plus High Waist Pocket Zipper Fly Solid Skinny Pants,,,5
2400,25.49,0.06,SHEIN EZwear Women Plain Simple Daily Plus Size Two Piece Set,,,
2200,13.57,0.49,SHEIN EZwear Plus Size Women's Long Cami Top 2pcs Set,,,8
,11.99,0.07,SHEIN Clasi Plus Size Solid Color Ruffle Edge Dress,8,In Cute Women Plus Clothing,12
4700,18.49,0.08,"SHEIN Slayr Plus Size Casual Streetwear Solid Color Strapless Jumpsuit With Belt, Pockets And Elastic Cuffs",,,5
6800,22.79,0.08,SHEIN WYWH Plus Drop Shoulder Shirt & Drawstring Waist Shorts Two Piece Outfits,,,4
500,14.59,0.08,SHEIN Essnce Plus Size Women's Striped Printed Simplistic Sleeveless Jumpsuit For Daily Wear,,,
2600,15.59,0.07,SHEIN LUNE Plus Size Solid Color Round Neck Short Sleeve Top And Knotted Shorts Casual 2pcs/Set For Summer,,,5
,14.29,0.08,SHEIN VCAY Plus Size Women Fashionable Geometric Patterned Crop Top And Shorts Set,4,in Plus Size Co-Ords,
,11.69,0.08,SHEIN LUNE Plus Size Spring/Summer Casual Solid Color Notched Neck Long Sleeve Shirt With Notched Collar,6,In Long Sleeve Plus Size Blouses,4
200,7.56,0.34,SHEIN EZwear Women's Plus Size Letter Printed Round Neck Long Sleeve Sweatshirt,,,
6500,16.09,0.13,SHEIN SXY Plus High Waist Ripped Raw Hem Denim Shorts,,,4
,24.99,0.13,SHEIN WYWH Plus Open Knit Drop Shoulder Sweater & Split Thigh Knit Skirt Without Lingerie,4,In White Plus Size Knitwear,9
,12.19,0.08,SHEIN Essnce Plus Eyelet Embroidery Drawstring Front Puff Sleeve Peplum Tee,8,In Black Plus Size T-shirts,11
2600,18.39,0.08,SHEIN WYWH Plus Size Floral Print Bell Sleeve Dress,,,11
900,6.35,0.46,SHEIN JORESS Plus Size Women Plain Simple Daily Short Sleeve Shirt,,,12
,10.79,0.05,SHEIN Essnce Plus Size Summer Casual Solid Color Mini Skirt Shorts,1,In Black Plus Size Bottoms,
,10.89,0.06,SHEIN Essnce Plus Size Solid Color Cutout Tight Fitting Short Sleeve Jumpsuit,4,In Short Sleeve Plus Size Jumpsuits & Bodysuits,
2300,13.29,0.08,SHEIN LUNE Plus Size Women Solid Color Notch V-Neck Loose Bat Sleeve Short-Sleeved Casual Shirt For Summer,,,
2100,7.89,0.06,SHEIN Essnce Plus Size Women Summer Solid Color V-Neck Half Sleeve Slim Fit T-Shirt,,,8
,9.19,0.1,SHEIN EZwear Oversized Casual And Simple Five-Pointed Star Pattern Round Neck Short Sleeve Super Loose Plus Size T-Shirt,10,in Plus Size Oversized Tshirts,
4000,10.29,0.06,SHEIN Frenchy Plus Eyelet Embroidery Butterfly Sleeve Tee,,,11
