selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,4.9,0.13,"SHEIN Teen Girls' Knitted Mesh Floral Pattern Crop Top With Split Hem, Ruched Bust",1,in Teen Girls Tops,
2300,14.6,0.14,SHEIN Tween Girls' Cool Street Style Knit Star Print Round Neck Top And Drawstring Jogger Pants Concert Outfit,,,4
30,9.6,0.06,SHEIN Teen Girl White Loose Split Band Jacquard Beach Vacation Semi-Sheer Sunscreen Knitted Cover Up Cover-Up,,,
1800,4.05,0.29,SHEIN Tween Girl Heart & Slogan Graphic Tee,,,6
2400,1.69,0.16,"200 Pcs/Bag Mix Color Children Cute Cartoon Elastic Hair Bands Baby Girls Lovely Srunchies Rubber Bands Kid Hair Accessories Set Bag Only Show ,Random Packing",,,7
1000,7.8,0.15,SHEIN Young Girl Daily Casual Home Wear Solid Color Sleeveless Vest And Shorts Set,,,
100,2.42,0.44,"Young Girl Knitted Casual Cartoon Letter Printed Round Neck T-Shirt, Suitable For Daily Wear In Spring And Summer",,,
,12.2,0.14,Young Girl's Heart Pattern Distressed Jeans,1,in Young Girls Jeans,4
,12.6,0.15,"Girls' Elegant And Versatile Double-Layer Peter Pan Collar Fringe Long-Sleeved Shirt And Suspender Skirt Set, Perfect For Autumn Picnic, Outdoor Activities And School",,,
5500,6.4,0.16,"SHEIN Tween Girls' Casual Solid Color Sleeveless Woven Top And Shorts Set, Spring/Summer",,,7
,4.4,0.15,SHEIN Young Girl Knitted Solid Color Round Neck Butterfly Patterned Casual Dress,1,in Young Girls Dresses,8
,13.2,0.15,SHEIN Tween Girl Casual And Colorful Candy-Coloured Soft And Comfortable Tank Top,5,in Tween Girls Tank Tops & Camis,
1100,5.56,0.47,SHEIN Young Boy Comfortable Casual Color-Blocking Top And Shorts Set,,,4
,6.9,0.07,Tween Girl Summer Fresh Striped Flare Sleeve V-Neck Belted Dress,5,in Tween Girls Dresses,6
,10.3,0.13,SHEIN Teen Girl Summer Casual Floral Cropped Ruched T-Shirt And Skirt Two Piece Set,,,
,6,0.08,"1pc Leisure And Fashion Crossbody Walking Bag With Mobile Phone Cloth Bag Vertical Coin Purse For ,Girl,Travel,Back To School,Gifts",1,in Kids Bags & Luggage,4
40,2.22,0.4,Set Of 3 Vintage Small Frame Round Sunglasses For Men And Women With Round Face,,,7
500,4.94,0.24,"SHEIN Tween Boy Summer Knitted Short Sleeve Sports Style Round Neck T-Shirt , Easy Bear Graphic Print",,,4
,9.3,0.07,SHEIN Tween Girls' Summer Casual Sleeveless Long Geometric Patterned Side Split Dress,4,in Tween Girls Dresses,
,10,0.07,SHEIN Tween Girl Knit Solid Color Pocketed Sports Skirt With Safety Short,4,in Tween Girls Activewear,8
10,6,0.06,Tween Girl Casual Slogan Graphic Short Sleeve Tee For Summer,,,
4900,7.7,0.13,SHEIN Tween Girls' Cartoon Print Short Sleeve Set,,,7
3700,8.3,0.14,SHEIN Young Girl Portrait Print Tank Top And Pleated Skirt,,,6
,12.73,0.17,SHEIN Tween Girl Knit Solid Color Bowknot Decor Casual Shorts 3pcs/Set For Summer,5,in Tween Girls Bottoms,4
3800,5.55,0.34,SHEIN Young Girl Heart Print Tee & Contrast Binding Shorts,,,11
,3.2,0.16,Young Girl's Casual Cartoon Printed Stand Collar Tank Top For Summer Suitable For Summer,3,in Young Girls Tank Tops & Camis,8
200,6.64,0.27,SHEIN Young Girl Rib-Knit Drop Shoulder Curved Hem Tee & Leggings,,,12
